title,link,AIRev1_score,AIRev2_score,AIRev3_score,Human_score,status,hypothesis_development_label,experimental_design,data_analysis,writing,primary_topic,secondary_topic,openreview_link,forum_id,authors,supplementary_link,code_link
Stylistic Contrastive Learning for Human-Like AI Text Generation,https://openreview.net/forum?id=0fo0d9Tbey,3.0,6.0,4.0,3.0,accepted,A,B,A,B,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=0fo0d9Tbey,0fo0d9Tbey,,,
The Architectural Immune System: A Framework for Correcting Synthetic Fallacies in AI-Driven Science,https://openreview.net/forum?id=ShWjvhAZGs,3.0,6.0,3.0,5.0,accepted,D,C,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=ShWjvhAZGs,ShWjvhAZGs,,,
Multi-target Parallel Drug Discovery with Multi-agent Orchestration,https://openreview.net/forum?id=AhFsKmuaCb,3.0,6.0,4.0,4.0,accepted,,,,,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=AhFsKmuaCb,AhFsKmuaCb,,,
Scalable Oversight in Multi-Agent Systems: Provable Alignment via Delegated Debate and Hierarchical Verification,https://openreview.net/forum?id=l5Wrcgyobp,3.0,6.0,4.0,5.0,accepted,B,B,B,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=l5Wrcgyobp,l5Wrcgyobp,,,
Magellan: Guided MCTS for Latent Space Exploration and Novelty Generation,https://openreview.net/forum?id=wVn3uPvm9W,2.0,6.0,5.0,4.0,accepted,D,C,C,C,Computer & Data Sciences,HumanâComputer Interaction,https://openreview.net/forum?id=wVn3uPvm9W,wVn3uPvm9W,,,
"Decontextualization, Everywhere: A Systematic Audit on PeerQA",https://openreview.net/forum?id=cK8YYMc65B,3.0,6.0,4.0,3.0,accepted,C,C,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=cK8YYMc65B,cK8YYMc65B,,,
LLM-Driven Discovery of High-Entropy Catalysts via Retrieval-Augmented Generation,https://openreview.net/forum?id=Ka1WYEwLdC,3.0,6.0,5.0,4.0,accepted,Not found,Not found,Not found,Not found,Engineering & Technology,Materials Science,https://openreview.net/forum?id=Ka1WYEwLdC,Ka1WYEwLdC,,,
PsySpace: Simulating Emergent Psychological Dynamics in Long-Duration Space Missions using Multi-Agent LLMs,https://openreview.net/forum?id=WAbHXkmBIn,3.0,6.0,4.0,5.0,accepted,D,D,D,D,Computer & Data Sciences,HumanâComputer Interaction,https://openreview.net/forum?id=WAbHXkmBIn,WAbHXkmBIn,,,
"Mentor-Mind: Risk-Aware, Constraint-Grounded Advice Agents Beyond Chain-of-Thought",https://openreview.net/forum?id=LqukdleDgU,4.0,6.0,4.0,4.0,accepted,A,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=LqukdleDgU,LqukdleDgU,,,
Hardware-Conditioned Generative Channel Modeling: A Diffusion-Based Approach for Location and Hardware-Aware Wireless Dataset Synthesis,https://openreview.net/forum?id=ExGHHgTM2p,3.0,6.0,4.0,4.0,accepted,C,D,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=ExGHHgTM2p,ExGHHgTM2p,,,
